ID,p,log2FC,pct.1,pct.2,Pvalue
Ptgs2,8.37E-08,-0.561967261,0.187,0.417,0.001339811
Dct,1.03E-07,-0.405736571,0.949,0.986,0.00164562
Ctsd,1.04E-07,-0.502590037,0.823,0.921,0.001663968
Lilr4b,1.24E-07,0.518389292,0.84,0.662,0.001979489
Rhoh,1.36E-07,0.360344088,0.316,0.086,0.002171721
Ehd1,1.38E-07,-0.437741826,0.486,0.698,0.002213996
Bri3,1.48E-07,-0.457498754,0.718,0.885,0.002365665
Cbfa2t3,1.56E-07,0.362320603,0.279,0.058,0.002497254
Tbxas1,1.69E-07,0.523340052,0.619,0.367,0.002698719
Atp6v0b,1.76E-07,-0.386708296,0.68,0.871,0.002810464
Dst,1.78E-07,-0.375738068,0.163,0.381,0.002840342
Ltb4r1,1.86E-07,0.396847693,0.34,0.108,0.00297447
Dapk1,2.09E-07,0.420666512,0.313,0.086,0.003340479
Coro2a,2.09E-07,0.360867053,0.272,0.058,0.003347575
Lrrfip1,2.28E-07,0.463397511,0.602,0.36,0.003640914
Ear2,2.55E-07,0.772979286,0.184,0.007,0.00408251
Ccl3,3.17E-07,-0.723026948,0.554,0.719,0.005065424
Fxyd5,3.37E-07,0.510240678,0.942,0.871,0.005390212
Tiparp,3.45E-07,0.529510637,0.697,0.432,0.005525992
Atf3,4.11E-07,0.687886157,0.932,0.899,0.006571539
Tyrobp,4.22E-07,-0.341715468,0.986,1,0.006752028
Cytip,4.32E-07,0.476702821,0.486,0.245,0.006914206
Dok2,4.60E-07,0.373125476,0.391,0.151,0.007358775
Myo10,5.22E-07,-0.380291554,0.088,0.266,0.008356452
Ccl7,6.91E-07,0.977696956,0.439,0.194,0.01106092
Adgb,8.39E-07,-0.2699263,0.051,0.201,0.013427087
Ctsc,8.40E-07,0.581852126,0.844,0.698,0.013433377
Spon1,9.48E-07,0.56200756,0.276,0.072,0.015165043
Klf9,9.50E-07,0.335524205,0.255,0.058,0.015198967
Cdk6,9.90E-07,0.447840047,0.534,0.302,0.015838478
Laptm5,9.99E-07,0.424157637,0.925,0.849,0.015980279
Dab2,1.06E-06,0.628059815,0.561,0.338,0.017026556
Igsf6,1.15E-06,-0.430065524,0.35,0.561,0.018478637
Hip1,1.16E-06,0.387821736,0.429,0.194,0.018484123
Olfm1,1.21E-06,0.411508036,0.374,0.151,0.019390058
Ccl9,1.31E-06,0.69968874,0.721,0.54,0.020973265
Cask,1.68E-06,0.414633792,0.32,0.115,0.026893694
Tmsb10,1.78E-06,0.502082762,0.983,0.971,0.028511909
Creb5,1.81E-06,0.58942097,0.663,0.453,0.029020661
Axl,1.82E-06,0.297780351,0.224,0.043,0.02911074
Uqcrq,1.93E-06,-0.339492831,0.782,0.921,0.030805939
Ciita,1.95E-06,0.436431243,0.391,0.173,0.031193704
Hck,2.00E-06,-0.354532109,0.333,0.576,0.031973924
Snd1,2.06E-06,0.470123374,0.595,0.374,0.032898127
Fabp5,2.14E-06,-0.91336033,0.684,0.835,0.034240512
Airn,2.22E-06,-0.499590482,0.16,0.36,0.035538998
Foxn3,2.30E-06,0.56806284,0.707,0.511,0.036768398
R3hdm1,2.33E-06,0.319670881,0.344,0.129,0.03728785
Vasp,2.53E-06,-0.332567471,0.265,0.482,0.040454992
S100a6,2.54E-06,0.420252836,0.942,0.849,0.040594537
Aopep,2.62E-06,0.440100891,0.622,0.367,0.041954609
Gbp8,2.68E-06,0.28724419,0.245,0.058,0.042820007
Furin,2.85E-06,0.436991891,0.463,0.245,0.045577498
Rilpl2,3.21E-06,-0.330709525,0.337,0.561,0.05133124
Rps6,3.47E-06,0.359268139,0.949,0.899,0.05551775
Abi3,3.59E-06,-0.30025037,0.19,0.396,0.057366666
Fau,3.60E-06,-0.260177472,1,1,0.057598719
Wipf1,3.61E-06,0.439782521,0.544,0.324,0.057698685
Pfkp,3.77E-06,0.630664415,0.595,0.432,0.060341094
Tiam1,3.91E-06,0.335500017,0.276,0.086,0.062555105
Acp2,4.03E-06,-0.334087764,0.156,0.345,0.064427483
Apoc2,4.06E-06,-0.421582527,0.231,0.439,0.065022105
Tspan5,4.22E-06,0.376950565,0.265,0.079,0.067442539
S100a4,4.24E-06,0.39397172,0.881,0.64,0.067895829
Lsp1,4.46E-06,0.492357128,0.592,0.36,0.07131514
Batf3,4.68E-06,0.336724828,0.255,0.072,0.074799726
Clec4a1,4.76E-06,-0.379685252,0.507,0.691,0.076087914
Rpl13,5.15E-06,0.289805117,1,1,0.082416728
Ctsb,5.48E-06,-0.49713019,0.963,0.993,0.087720042
Zfp608,5.50E-06,0.48168866,0.384,0.173,0.088021413
Uck2,5.62E-06,0.439221237,0.398,0.18,0.089931382
Naaa,5.84E-06,0.448453772,0.374,0.173,0.093435534
Cep170,6.20E-06,0.346575064,0.347,0.144,0.099142691
Rps27,6.40E-06,-0.271383218,0.986,1,0.10236045
Tnip1,6.65E-06,-0.406421286,0.265,0.453,0.106343322
Rnf217,7.04E-06,0.404026246,0.272,0.086,0.112564294
