"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Bcl2a1b2",4.27926176456804e-29,0.441535970860245,0.307,0.147,9.46273153998932e-25,"6","Bcl2a1b"
"Mrtfa2",1.10922011602675e-28,0.445494437055266,0.953,0.685,2.45281844256994e-24,"6","Mrtfa"
"Slc9a3r12",1.22266132607516e-28,0.337293400942699,0.939,0.657,2.70367099035001e-24,"6","Slc9a3r1"
"Tspan52",1.49126270411216e-28,0.33270151610612,0.832,0.563,3.29762921760321e-24,"6","Tspan5"
"Impa22",1.624818196519e-28,0.305754849829424,0.841,0.563,3.59296047796247e-24,"6","Impa2"
"Sept6",3.93380795518543e-28,0.855547631669348,0.269,0.149,8.69882953130155e-24,"6","Sept6"
"Rnaset2a",3.94225775420309e-28,0.393710056036786,0.872,0.623,8.7175145718693e-24,"6","Rnaset2a"
"Eml41",8.44348118378103e-28,0.611862860336603,0.988,0.777,1.8671069941695e-23,"6","Eml4"
"Zfp2922",1.20975767997837e-27,0.505329994876676,0.991,0.766,2.67513715773618e-23,"6","Zfp292"
"Rpl36a1",1.3412348079438e-27,0.386744569622144,1,1,2.96587253080612e-23,"6","Rpl36a"
"Gtdc12",1.39548962887294e-27,0.401013208842605,0.884,0.593,3.08584621632672e-23,"6","Gtdc1"
"H2-Q41",1.45202119766769e-27,0.951509737109416,0.476,0.367,3.21085447440257e-23,"6","H2-Q4"
"Chd72",2.20566380755392e-27,0.766813478206533,0.394,0.254,4.87738437764399e-23,"6","Chd7"
"Rps261",2.6210474521031e-27,0.335994409407909,1,1,5.79592223083559e-23,"6","Rps26"
"Arl151",3.83068012359421e-27,0.706702046636524,0.994,0.805,8.47078295730388e-23,"6","Arl15"
"Cdkal11",3.99818268679912e-27,0.378610182408343,0.919,0.637,8.84118137531889e-23,"6","Cdkal1"
"Wnk11",4.11950908549859e-27,0.497511045132747,1,0.987,9.10947044076303e-23,"6","Wnk1"
"Spata5",5.03400874448089e-27,0.325848990567374,0.915,0.628,1.11317035366706e-22,"6","Spata5"
"Taf131",5.29020286804804e-27,0.437657109940059,0.86,0.611,1.16982256021146e-22,"6","Taf13"
"Rora2",6.45578242571053e-27,0.659491118419001,0.998,0.893,1.42756716779737e-22,"6","Rora"
"Traf61",6.71605543227135e-27,0.392919359670814,0.907,0.642,1.48512133773816e-22,"6","Traf6"
"Camk2g",7.57341592194884e-27,0.410332885043368,0.86,0.622,1.67470946282055e-22,"6","Camk2g"
"Usp48",8.85841725906805e-27,0.447302505379921,0.885,0.641,1.95886180849772e-22,"6","Usp48"
"Map3k51",9.88712678909818e-27,0.51125656586005,0.719,0.508,2.18634034687328e-22,"6","Map3k5"
"Psme11",1.27239320169954e-26,0.34718794002139,1,0.989,2.81364308691819e-22,"6","Psme1"
"Lrrc8d2",2.2809810694266e-26,0.27495472030185,0.892,0.598,5.04393343882304e-22,"6","Lrrc8d"
"Arhgap262",2.75041596102926e-26,0.877535499095751,0.453,0.332,6.08199481462401e-22,"6","Arhgap26"
"Arhgap172",2.90741218783642e-26,0.277883370938765,0.885,0.615,6.42916057096268e-22,"6","Arhgap17"
"Crebrf2",3.66470377626112e-26,0.372827079045561,0.896,0.629,8.10375946044622e-22,"6","Crebrf"
"Ppp1r102",4.09490673044166e-26,0.42601772876727,0.771,0.541,9.05506725302565e-22,"6","Ppp1r10"
"Ppp6r1",4.63387797881803e-26,0.4011843580323,0.861,0.629,1.02468943745603e-21,"6","Ppp6r1"
"Exoc21",5.41815015397745e-26,0.399495703325509,0.905,0.655,1.19811554354903e-21,"6","Exoc2"
"Ppm1b",5.66320798641006e-26,0.472892289520974,0.957,0.715,1.25230518203486e-21,"6","Ppm1b"
"Cotl11",5.95340501252341e-26,0.426733317073723,1,0.992,1.3164764504193e-21,"6","Cotl1"
"Smchd11",6.91984045868796e-26,0.608966886304304,0.994,0.884,1.53018432062967e-21,"6","Smchd1"
"Nr4a3",7.43469402044814e-26,0.583864056059744,0.982,0.706,1.6440338887417e-21,"6","Nr4a3"
"Rnf157",7.75176890943359e-26,0.629139652297133,0.653,0.49,1.71414865894305e-21,"6","Rnf157"
"Nipbl2",9.40018413535679e-26,0.527569913636134,0.995,0.874,2.07866271785145e-21,"6","Nipbl"
"Rnaset2b",1.24158637741077e-25,0.360788067827728,0.849,0.608,2.74551995636844e-21,"6","Rnaset2b"
"Sik32",1.69568127876484e-25,0.415771580549465,1,0.962,3.74966001173269e-21,"6","Sik3"
"Galnt21",2.24607983479219e-25,0.476450954991361,0.835,0.613,4.96675633867597e-21,"6","Galnt2"
"Mtf2",2.58102415459194e-25,0.332498685912359,0.919,0.64,5.70741871304915e-21,"6","Mtf2"
"Dennd1b2",2.63050886060183e-25,0.478276852594067,0.989,0.766,5.81684424344883e-21,"6","Dennd1b"
"Rsbn1l",3.10566523844893e-25,0.56426491391626,0.998,0.852,6.86755754178212e-21,"6","Rsbn1l"
"Lbr2",3.76821300508633e-25,0.434813644034274,0.702,0.504,8.3326494181474e-21,"6","Lbr"
"Mark21",4.1724737700513e-25,0.428974232222912,0.976,0.738,9.22659124771444e-21,"6","Mark2"
"Zfp4073",4.41067976994171e-25,0.347080311854463,0.954,0.667,9.7533361752721e-21,"6","Zfp407"
"Bhlhe40",6.1889813587452e-25,0.54410408604848,0.998,0.816,1.36856944785933e-20,"6","Bhlhe40"
"Slc4a7",6.85974167118541e-25,0.392229364467752,0.869,0.61,1.51689467574923e-20,"6","Slc4a7"
"Arid5b3",7.2299056222028e-25,0.282278158223217,0.997,0.809,1.59874903023771e-20,"6","Arid5b"
"Tut41",9.77397620719804e-25,0.554067335278749,0.998,0.889,2.1613193586977e-20,"6","Tut4"
"Cap12",1.08228671911486e-24,0.369961925701675,0.971,0.715,2.39326062197868e-20,"6","Cap1"
"Sesn31",1.08648222415813e-24,0.385236005694952,0.858,0.609,2.40253814228088e-20,"6","Sesn3"
"Col4a3bp2",1.13252413593487e-24,0.341596788553598,0.948,0.672,2.50435062179278e-20,"6","Col4a3bp"
"Zswim63",1.27990551677617e-24,0.351543421622634,0.998,0.795,2.83025506924714e-20,"6","Zswim6"
"Cog5",1.70403880948483e-24,0.481115405487295,0.965,0.731,3.76814101941381e-20,"6","Cog5"
"Mxd12",2.12067031278704e-24,0.272052807166269,0.713,0.493,4.68943826266599e-20,"6","Mxd1"
"N4bp12",2.39205557085526e-24,0.301725196957013,0.91,0.637,5.28955248383223e-20,"6","N4bp1"
"Fam117b1",2.40272120994435e-24,0.433609487217245,0.936,0.666,5.31313741154995e-20,"6","Fam117b"
"Rgs22",2.62502821031674e-24,0.712334765964196,0.391,0.25,5.80472488147341e-20,"6","Rgs2"
"Anxa61",2.6574145946329e-24,0.625720314697153,0.994,0.842,5.87634089311173e-20,"6","Anxa6"
"Arih12",3.02964177928116e-24,0.390162564351257,1,0.968,6.69944686652443e-20,"6","Arih1"
"Samhd12",3.59343806622045e-24,0.460144463772314,0.682,0.502,7.94616959583329e-20,"6","Samhd1"
"Rps15a1",3.70856936552202e-24,0.316609060203777,1,1,8.20075943797885e-20,"6","Rps15a"
"Samd9l1",5.54872441265232e-24,0.458735963158951,0.75,0.536,1.22698942936981e-19,"6","Samd9l"
"Cbl1",6.35692358963883e-24,0.371196447996555,0.959,0.699,1.40570651337684e-19,"6","Cbl"
"Stk10",8.14335101069032e-24,0.875615193950806,0.458,0.369,1.80073920899395e-19,"6","Stk10"
"Cxcl102",1.55712447058158e-23,0.368720655904004,0.895,0.556,3.44326934179704e-19,"6","Cxcl10"
"Ddx10",1.66289456178706e-23,0.310249384372597,0.856,0.606,3.67715874447973e-19,"6","Ddx10"
"Clec2d1",1.96550724583868e-23,0.717740811838981,0.26,0.141,4.34632617272308e-19,"6","Clec2d"
"Prdm22",2.00428325180063e-23,0.371766980497366,0.954,0.701,4.43207155470674e-19,"6","Prdm2"
"Sdf4",2.04563526644175e-23,0.595176624707225,0.998,0.932,4.52351326468265e-19,"6","Sdf4"
"Vars1",2.19392686589707e-23,0.297067774675889,0.925,0.653,4.85143047855819e-19,"6","Vars"
"Ypel32",2.44178661223066e-23,0.433642688285502,0.724,0.52,5.39952273562566e-19,"6","Ypel3"
"Arl6ip51",2.78535693230131e-23,0.57353870875652,0.986,0.807,6.15925978439788e-19,"6","Arl6ip5"
"Eif2ak3",2.92209964141002e-23,0.454060139630067,0.76,0.539,6.46163893704997e-19,"6","Eif2ak3"
"B4galt12",3.25921502690226e-23,0.870762881970351,0.527,0.411,7.20710218898897e-19,"6","B4galt1"
"Foxn32",3.51721820218799e-23,0.534567689873191,0.995,0.929,7.7776246104983e-19,"6","Foxn3"
"Pkn12",3.67341137478798e-23,0.343402658111206,0.827,0.6,8.12301457306867e-19,"6","Pkn1"
"Hist1h1c1",4.22299682350301e-23,0.34737561368139,0.974,0.691,9.3383128758122e-19,"6","Hist1h1c"
"Tmem1642",4.7119104660038e-23,0.283126343558611,0.937,0.648,1.04194476134742e-18,"6","Tmem164"
"Gls2",4.91233450558835e-23,0.447483369193703,1,0.899,1.08626452922075e-18,"6","Gls"
"Lmnb12",5.57801678063666e-23,0.464239238826184,0.991,0.723,1.23346685070219e-18,"6","Lmnb1"
"Rock1",6.14188324160234e-23,0.423053057798694,0.998,0.95,1.35815464121553e-18,"6","Rock1"
"Ppm1h1",6.5559608661742e-23,0.581859890999403,0.992,0.817,1.4497196263371e-18,"6","Ppm1h"
"Hipk12",8.76887910226083e-23,0.378813680803574,0.864,0.623,1.93906223588294e-18,"6","Hipk1"
"Sirt71",9.05371178796841e-23,0.315301622042657,0.86,0.617,2.00204728767345e-18,"6","Sirt7"
"Mbp",1.02959475362076e-22,0.410920568271985,0.951,0.694,2.27674287868158e-18,"6","Mbp"
"Ppp2r5a2",1.27382318595765e-22,0.413989642570717,0.976,0.744,2.81680521110815e-18,"6","Ppp2r5a"
"Supt20",2.01689334566376e-22,0.378787862068912,0.944,0.698,4.45995625526627e-18,"6","Supt20"
"Fbxo331",2.06807040530516e-22,0.338882083748055,0.837,0.596,4.57312408725129e-18,"6","Fbxo33"
"Xrn1",4.22181785453047e-22,0.337932978281053,0.847,0.609,9.33570582172322e-18,"6","Xrn1"
"Ddx51",4.89090804785756e-22,0.304125587015638,1,1,1.08152649662274e-17,"6","Ddx5"
"Farp11",5.78769350729728e-22,0.468607433783752,0.966,0.728,1.27983266526865e-17,"6","Farp1"
"Dcaf5",7.22563442306943e-22,0.404330249573507,0.927,0.687,1.59780453997334e-17,"6","Dcaf5"
"Appl11",9.44143596467241e-22,0.318836937075319,0.869,0.621,2.08778473486801e-17,"6","Appl1"
"Slc1a51",1.08875336227284e-21,0.312580690083047,0.892,0.633,2.40756030999393e-17,"6","Slc1a5"
"Mndal2",1.60236825129168e-21,0.817696413085823,0.362,0.254,3.54331691408129e-17,"6","Mndal"
"Sik21",1.65375123786972e-21,0.298300222995924,0.893,0.621,3.65694011230131e-17,"6","Sik2"
"Birc33",1.76401820945841e-21,0.681408336318844,0.292,0.167,3.90077346657539e-17,"6","Birc3"
"Ythdc1",2.10122000929821e-21,0.483534563550135,1,0.953,4.64642780656113e-17,"6","Ythdc1"
"Crtc31",2.55840199126255e-21,0.399081414486767,0.942,0.697,5.65739432327888e-17,"6","Crtc3"
"Map3k22",2.69771504793956e-21,0.399232857815809,0.919,0.671,5.96545728550874e-17,"6","Map3k2"
"Bcl2l13",2.86429964669724e-21,0.270712056889785,0.884,0.611,6.3338258087416e-17,"6","Bcl2l1"
