SAMPLE,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,TYPE
TCGA.FI.A2CX.01A.11R.A17B.07,0.022471073,0,0.004063733,0.13086987,0,0.069822769,0.034040287,0.034202252,0.066490275,0,0.003987379,0.005689203,0,0.387962486,0.084945431,0.136751486,0,0,0.018703757,0,0,0,no alteration
TCGA.PG.A916.01A.11R.A37O.07,0.147432693,0,0.183290408,0,0,0.172931766,0,0.006489366,0.020669399,0.014052624,0,0.096960273,0,0.215452628,0.0193984,0.10177382,0.008290979,0,0,0,0.013257646,0,MUT
TCGA.A5.A3LP.01A.11R.A22K.07,0.021072105,0.017289574,0,0.067926973,0,0.131229282,0,0.050375442,0.001283628,0,0,0.042286923,0,0.48899744,0.034577552,0.086196628,0,0.041650873,0.017113579,0,0,0,no alteration
TCGA.KP.A3W3.01A.11R.A22K.07,0,0.02537822,0.012788384,0.016351565,0,0.135914919,0,0.048241093,0.027818863,0.037992055,0,0.052321428,0,0.280388134,0.09715653,0.20750709,0.020420677,0.007699354,0.030021689,0,0,0,no alteration
TCGA.SJ.A6ZI.01A.12R.A34R.07,0.074883699,0,0.000109939,0.193369388,0,0.181177443,0.081932137,0.062835019,0.093392396,0,0,0.023056071,0,0.055942929,0.052387846,0.033985839,0.050139251,0.007073766,0,0,0,0.089714279,MUT
TCGA.D1.A16G.01A.31R.A12I.07,0.198319588,0,0.113494816,0,0,0.200221782,0,0,0.074195832,0,0,0.047408583,0,0.149180954,0.078484237,0.040085014,0.035689998,0.001872829,0.026846775,0,0,0.03419959,no alteration
TCGA.D1.A163.01A.11R.A12I.07,0.060319391,0,0.004700552,0.192139357,0,0.167592067,0.012354664,0.086218076,0.039045378,0,0,0.024814063,0,0.235799465,0.039737963,0.052248465,0,0.013962754,0,0.071067806,0,0,MUT
TCGA.BG.A0VW.01A.11R.A118.07,0.10700236,0,0.049822097,0.133414731,0,0.169073791,0,0.047712532,0.037131892,0,0,0.068391954,0.003461232,0.210519586,0.061622655,0.070013431,0.040512931,0,0,0.001320807,0,0,MUT
TCGA.BK.A139.01C.08R.A277.07,0.026253747,0,0.000890306,0,0,0.218835938,0,0,0,0,0.040440484,0,0,0.091134073,0.020415924,0.270315849,0,0.133252764,0.037994125,0.011245482,0.037658726,0.111562581,MUT
TCGA.D1.A0ZQ.01A.11R.A118.07,0.07805912,0,0.032963627,0.170426591,0,0.324683455,0,0.008178727,0,0,0,0.018202303,0.008498855,0.12351804,0.05085192,0.12417344,0.002886829,0,0.057557093,0,0,0,MUT
TCGA.BS.A0U8.01A.11R.A104.07,0.046391168,0,0.018383542,0.077294805,0,0.175635576,0.034758776,0.131661096,0.014241655,0.03948566,0,0.061713856,0,0.291430078,0.038540979,0.047932487,0,0,0.022530322,0,0,0,MUT
TCGA.D1.A160.01A.11R.A118.07,0.037987432,0,0.012782803,0.186965584,0,0.169307848,0.034857538,0.111237733,0.071048547,0,0,0.038138028,0.002387312,0.193778863,0.06715866,0.062836822,0.004063081,0,0,0.00744975,0,0,HOMDEL 
TCGA.D1.A15V.01A.11R.A118.07,0.081251856,0,0.01038563,0.225948565,0,0.12990875,0.057913347,0.11381534,0.01109012,0,0,0.019087291,0.000738447,0.117304845,0.130351226,0.07137765,0,0,0.030826934,0,0,0,no alteration
TCGA.BG.A0LX.01A.11R.A16W.07,0.047377755,0,0,0.151697802,0,0.196128041,0.034904646,0.090280471,0.064814191,0,0,0.060883149,0,0.172624789,0.082362423,0.041871016,0.02781248,0,0.029243236,0,0,0,MUT
TCGA.EO.A3AU.01A.21R.A19W.07,0.144500774,0,0.029464117,0.180555785,0,0.171115507,0.116258386,0.079112325,0,0,0,0,0.009203349,0.130152377,0.009954403,0.022532407,0,0.102485205,0.000214209,0,0.004451157,0,MUT
TCGA.B5.A1MV.01A.31R.A14D.07,0.062212933,0,0.022121186,0.049739467,0,0.233428897,0,0,0.034147659,0,0,0.085624607,0.002213502,0.149341339,0.02791226,0.078729725,0.13544035,0,0.016891283,0,0,0.102196791,MUT
TCGA.A5.A2K3.01A.11R.A32Y.07,0.035936016,0,0.131587502,0.342923012,0,0,0.12302451,0.057279839,0.01475558,0,0.019997835,0.04775498,0,0.017929362,0.047998292,0.077403545,0.034283707,0,0.041948698,0,0,0.007177123,no alteration
TCGA.D1.A17D.01A.12R.A12I.07,0.00624273,0.008061117,0,0.108278189,0,0.084260884,0,0.009111921,0.105103066,0,0,0.068937646,0,0.519996269,0.018535221,0,0.016218197,0,0,0.028350238,0,0.026904523,MUT
TCGA.A5.A0GQ.01A.11R.A118.07,0.299382609,0,0.011604397,0.054852047,0,0.099569433,0.003165754,0,0.067847456,0,0.037166849,0,0.001399516,0.222896688,0.027117458,0.067978486,0,0.004898357,0,0.054931793,0,0.047189157,MUT
TCGA.B5.A3FC.01A.11R.A22K.07,0.011093827,0,0.060244033,0.119540401,0,0.118062434,0.030640444,0.066024938,0.052988172,0.034516825,0,0.131042285,0,0.142821748,0.0379744,0.161736696,0,0,0.033313796,0,0,0,MUT
TCGA.AX.A1C7.01A.11R.A137.07,0.08798034,0,0.041536795,0.06598606,0,0.011544845,0,0.004333213,0.004268404,0,0,0.083602445,0,0.545320538,0.008245778,0.054270368,0,0.05788687,0.035024344,0,0,0,no alteration
TCGA.D1.A3DA.01A.12R.A213.07,0,0.017159044,0.045312333,0,0,0.057834404,0,0.013533682,0,0,0.045090002,0,0,0.401990754,0,0.012712617,0.049105966,0.080972869,0,0.091412234,0.04770244,0.137173655,MUT
TCGA.AX.A060.01A.11R.A00V.07,0.164815059,0,0.07573905,0.077270591,0,0.117088268,0,0.008630523,0.033748525,0,0.036573422,0,0.006144827,0.335045296,0.001106473,0.032146419,0.047704371,0.020953004,0,0.043034172,0,0,MUT
TCGA.AP.A1DK.01A.11R.A137.07,0.095936412,0,0.090256786,0.205671147,0,0.21241876,0.03613932,0.124526098,0.058378109,0,0,0.042209931,0,0.041022182,0.03369293,0.01427308,0.013054158,0,0.032421086,0,0,0,MUT
TCGA.JU.AAVI.01A.11R.A40A.07,0.014787037,0,0.031805555,0.318791685,0,0,0.105910181,0.062279041,0.039080055,0,0.054504754,0.062780555,0.000380809,0.038739419,0.106282821,0.071344711,0.050248832,0,0.043064545,0,0,0,no alteration
TCGA.D1.A1O8.01A.11R.A14D.07,0.004679816,0,0.104472783,0.350531588,0,0,0.055621475,0.026718945,0.026294517,0,0.046681856,0.003531598,0,0.150165093,0.055214628,0.166116213,0.000700059,0,0.009271428,0,0,0,MUT
